HDFS,база данных,роль,группа,Вид учетной записи,учетная запись,YARN
/data/custom/rb/900/pa,custom_rb_900,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/900/pa,custom_rb_900,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/900/pa,custom_rb_900,r_dc_custom_rb_900_ro,g_dc_d_custom_rb_900_ro,Пользователь,,
/data/custom/rb/900/stg,custom_rb_900_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/900/stg,custom_rb_900_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/afina/pa,custom_rb_afina,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/afina/pa,custom_rb_afina,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/afina/pa,custom_rb_afina,r_dc_custom_rb_afina_ro,g_dc_d_custom_rb_afina_ro,Пользователь,,
/data/custom/rb/afina/stg,custom_rb_afina_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/afina/stg,custom_rb_afina_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/autopay/pa,custom_rb_autopay,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/autopay/pa,custom_rb_autopay,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/autopay/pa,custom_rb_autopay,r_dc_custom_rb_autopay_ro,g_dc_d_custom_rb_autopay_ro,Пользователь,,
/data/custom/rb/autopay/stg,custom_rb_autopay_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/autopay/stg,custom_rb_autopay_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/autopayment/pa,custom_rb_autopayment,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/autopayment/pa,custom_rb_autopayment,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/autopayment/pa,custom_rb_autopayment,r_dc_custom_rb_autopayment_ro,g_dc_d_custom_rb_autopayment_ro,Пользователь,,
/data/custom/rb/autopayment/stg,custom_rb_autopayment_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/autopayment/stg,custom_rb_autopayment_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/avaya/pa,custom_rb_avaya,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/avaya/pa,custom_rb_avaya,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/avaya/pa,custom_rb_avaya,r_dc_custom_rb_avaya_ro,g_dc_d_custom_rb_avaya_ro,Пользователь,,
/data/custom/rb/avaya/stg,custom_rb_avaya_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/avaya/stg,custom_rb_avaya_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/bd/pa,custom_rb_bd,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/bd/pa,custom_rb_bd,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/bd/pa,custom_rb_bd,r_dc_custom_rb_bd_ro,g_dc_d_custom_rb_bd_ro,Пользователь,,
/data/custom/rb/bd/stg,custom_rb_bd_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/bd/stg,custom_rb_bd_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/card/pa,custom_rb_card,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/card/pa,custom_rb_card,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/card/pa,custom_rb_card,r_dc_custom_rb_card_ro,g_dc_d_custom_rb_card_ro,Пользователь,,
/data/custom/rb/card/stg,custom_rb_card_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/card/stg,custom_rb_card_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/cbdbo/pa,custom_rb_cbdbo,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/cbdbo/pa,custom_rb_cbdbo,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/cbdbo/pa,custom_rb_cbdbo,r_dc_custom_rb_cbdbo_ro,g_dc_d_custom_rb_cbdbo_ro,Пользователь,,
/data/custom/rb/cbdbo/stg,custom_rb_cbdbo_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/cbdbo/stg,custom_rb_cbdbo_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/check/pa,custom_rb_check,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
